Journal_ID,Posting_Date,Account,Description,Amount,Prepared_By
JE001,2026-09-01,6100,Office Supplies,245.75,SMITH
JE002,2026-09-02,7200,Consulting Services,5000.00,JONES
JE003,2026-09-05,6100,Office Supplies,1000.00,SMITH
JE004,2026-09-06,5200,Equipment Repair,8750.00,ADMIN
JE005,2026-09-08,4100,Customer Payment,2500.00,WILLIAMS
JE006,2026-09-08,4100,Customer Payment,2500.00,WILLIAMS
JE007,2026-09-10,7300,Travel Expense,487.36,JONES
JE008,2026-09-12,6200,Professional Fees,10000.00,ADMIN
JE009,2026-09-14,6100,Office Supplies,83.47,SMITH
JE010,2026-09-15,7200,Consulting Services,5000.00,JONES
